string	data_package	data_type	source	error_category	error_type	string_type	file type	notes
Calandrella brachydactyla	2	data	GNRD_1			scientific name		
Calcarius lapponicus	2	data	GNRD_1			scientific name		
Carduelis cannabina	2	data	GNRD_1			scientific name		
Carduelis carduelis	2	data	GNRD_1			scientific name		
Carduelis flammea	2	data	GNRD_1			scientific name		
Carduelis hornemanni	2	data	GNRD_1			scientific name		
Carpodacus erythrinus	2	data	GNRD_1			scientific name		
Certhia brachydactyla	2	data	GNRD_1			scientific name		
Certhia familiaris	2	data	GNRD_1			scientific name		
Cinclus cinclus	2	data	GNRD_1			scientific name		
Coccothraustes coccothraustes	2	data	GNRD_1			scientific name		
Corvus corax	2	data	GNRD_1			scientific name		
Delichon urbica	2	data	GNRD_1			scientific name		
Emberiza aureola	2	data	GNRD_1			scientific name		
Emberiza cirlus	2	data	GNRD_1			scientific name		
Emberiza citrinella	2	data	GNRD_1			scientific name		
Emberiza hortulana	2	data	GNRD_1			scientific name		
Emberiza melanocephala	2	data	GNRD_1			scientific name		
Emberiza rustica	2	data	GNRD_1			scientific name		
Emberiza schoeniclus	2	data	GNRD_1			scientific name		
Eneterobacteriaceae	2	data	GNRD_1			scientific name		
Enetrococcus	2	data	GNRD_1			scientific name		
Enterobacteriaceae	2	data	GNRD_1			scientific name		
Enterococcus	2	data	GNRD_1			scientific name		
Eremophila alpestris	2	data	GNRD_1			scientific name		
Ficedula albicollis	2	data	GNRD_1			scientific name		
Ficedula hypoleuca	2	data	GNRD_1			scientific name		
Ficedula parva	2	data	GNRD_1			scientific name		
Fringilla coelebs	2	data	GNRD_1			scientific name		
Fringilla montifringilla	2	data	GNRD_1			scientific name		
Garrulus glandarius	2	data	GNRD_1			scientific name		
Hippolais icterina	2	data	GNRD_1			scientific name		
Hippolais polyglotta	2	data	GNRD_1			scientific name		
Lanius collurio	2	data	GNRD_1			scientific name		
Lanius excubitor	2	data	GNRD_1			scientific name		
Lanius senator	2	data	GNRD_1			scientific name		
Locustella luscinioides	2	data	GNRD_1			scientific name		
Locustella naevia	2	data	GNRD_1			scientific name		
Loxia curvirostra	2	data	GNRD_1			scientific name		
Loxia leucoptera	2	data	GNRD_1			scientific name		
Loxia pytyopsittacus	2	data	GNRD_1			scientific name		
Luscinia luscinia	2	data	GNRD_1			scientific name		
Luscinia megarhynchos	2	data	GNRD_1			scientific name		
Luscinia svecica	2	data	GNRD_1			scientific name		
Miliaria calandra	2	data	GNRD_1			scientific name		
Monticola saxatilis	2	data	GNRD_1			scientific name		
Motacilla alba	2	data	GNRD_1			scientific name		
Motacilla cinerea	2	data	GNRD_1			scientific name		
Motacilla flava	2	data	GNRD_1			scientific name		
Muscicapa striata	2	data	GNRD_1			scientific name		
Nucifraga caryocatactes	2	data	GNRD_1			scientific name		
Oenanthe oenanthe	2	data	GNRD_1			scientific name		
Oriolus oriolus	2	data	GNRD_1			scientific name		
Panurus biarmicus	2	data	GNRD_1			scientific name		
Parus ater	2	data	GNRD_1			scientific name		
Parus cristatus	2	data	GNRD_1			scientific name		
Parus montanus	2	data	GNRD_1			scientific name		
Parus palustris	2	data	GNRD_1			scientific name		
Passer domesticus	2	data	GNRD_1			scientific name		
Passer hispaniolensis	2	data	GNRD_1			scientific name		
Passer montanus	2	data	GNRD_1			scientific name		
Perisoreus infaustus	2	data	GNRD_1			scientific name		
Phoenicurus ochruros	2	data	GNRD_1			scientific name		
Phoenicurus phoenicurus	2	data	GNRD_1			scientific name		
Phylloscopus bonelli	2	data	GNRD_1			scientific name		
Phylloscopus collybita	2	data	GNRD_1			scientific name		
Phylloscopus sibilatrix	2	data	GNRD_1			scientific name		
Phylloscopus trochilus	2	data	GNRD_1			scientific name		
Pica pica	2	data	GNRD_1			scientific name		
Pinicola enucleator	2	data	GNRD_1			scientific name		
Plectrophenax nivalis	2	data	GNRD_1			scientific name		
Prunella collaris	2	data	GNRD_1			scientific name		
Prunella modularis	2	data	GNRD_1			scientific name		
Pyrrhocorax graculus	2	data	GNRD_1			scientific name		
Pyrrhocorax pyrrhocorax	2	data	GNRD_1			scientific name		
Regulus ignicapillus	2	data	GNRD_1			scientific name		
Regulus regulus	2	data	GNRD_1			scientific name		
Remiz pendulinus	2	data	GNRD_1			scientific name		
Saxicola rubetra	2	data	GNRD_1			scientific name		
Saxicola torquata	2	data	GNRD_1			scientific name		
Serinus citrinella	2	data	GNRD_1			scientific name		
Serinus serinus	2	data	GNRD_1			scientific name		
Sitta europaea	2	data	GNRD_1			scientific name		
Staphylococcus	2	data	GNRD_1			scientific name		
Sylvia atricapilla	2	data	GNRD_1			scientific name		
Sylvia borin	2	data	GNRD_1			scientific name		
Sylvia cantillans	2	data	GNRD_1			scientific name		
Sylvia communis	2	data	GNRD_1			scientific name		
Sylvia curruca	2	data	GNRD_1			scientific name		
Sylvia hortensis	2	data	GNRD_1			scientific name		
Sylvia melanocephala	2	data	GNRD_1			scientific name		
Sylvia nisoria	2	data	GNRD_1			scientific name		
Sylvia undata	2	data	GNRD_1			scientific name		
Troglodytes troglodytes	2	data	GNRD_1			scientific name		
Turdus iliacus	2	data	GNRD_1			scientific name		
Turdus viscivorus	2	data	GNRD_1			scientific name		
Emberiza cia	2	pdf	annotator_1	false negative	reading figure	scientific name	pdf	name in figure
animal	2	pdf	annotator_1			vernacular	pdf	
Bacteria	2	pdf	annotator_1			vernacular	pdf	
bacteria	2	pdf	annotator_1			vernacular	pdf	
bird	2	pdf	annotator_1			vernacular	pdf	
Bird	2	pdf	annotator_1			vernacular	pdf	
birds	2	pdf	annotator_1			vernacular	pdf	
Birds	2	pdf	annotator_1			vernacular	pdf	
blackcap	2	pdf	annotator_1			vernacular	pdf	
cuckoos	2	pdf	annotator_1			vernacular	pdf	
fleas	2	pdf	annotator_1			vernacular	pdf	
passerine birds	2	pdf	annotator_1			vernacular	pdf	
plant	2	pdf	annotator_1			vernacular	pdf	
rabbit	2	pdf	annotator_1			vernacular	pdf	
Acrocephalus arundinaceus	2	pdf	annotator_1			scientific name	pdf	
Acrocephalus melanopogon	2	pdf	annotator_1			scientific name	pdf	
Acrocephalus palustris	2	pdf	annotator_1			scientific name	pdf	
Acrocephalus schoenobaenus	2	pdf	annotator_1			scientific name	pdf	
Acrocephalus scirpaceus	2	pdf	annotator_1			scientific name	pdf	
Aegithalos caudatus	2	pdf	annotator_1			scientific name	pdf	
Alauda arvensis	2	pdf	annotator_1			scientific name	pdf	
Anthus pratensis	2	pdf	annotator_1			scientific name	pdf	
Anthus spinoletta	2	pdf	annotator_1			scientific name	pdf	
Anthus trivialis	2	pdf	annotator_1			scientific name	pdf	
Bombycilla garrulus	2	pdf	annotator_1			scientific name	pdf	
Calandrella brachydactyla	2	pdf	annotator_1			scientific name	pdf	
Calcarius lapponicus	2	pdf	annotator_1			scientific name	pdf	
Carduelis cannabina	2	pdf	annotator_1			scientific name	pdf	
Carduelis carduelis	2	pdf	annotator_1			scientific name	pdf	
Carduelis flammea	2	pdf	annotator_1			scientific name	pdf	
Carduelis hornemanni	2	pdf	annotator_1			scientific name	pdf	
Carpodacus erythrinus	2	pdf	annotator_1			scientific name	pdf	
Certhia brachydactyla	2	pdf	annotator_1			scientific name	pdf	
Certhia familiaris	2	pdf	annotator_1			scientific name	pdf	
Cinclus cinclus	2	pdf	annotator_1			scientific name	pdf	
Coccothraustes coccothraustes	2	pdf	annotator_1			scientific name	pdf	
Corvus corax	2	pdf	annotator_1			scientific name	pdf	
Delichon urbica	2	pdf	annotator_1			scientific name	pdf	
Emberiza aureola	2	pdf	annotator_1			scientific name	pdf	
Emberiza cirlus	2	pdf	annotator_1			scientific name	pdf	
Emberiza citrinella	2	pdf	annotator_1			scientific name	pdf	
Emberiza hortulana	2	pdf	annotator_1			scientific name	pdf	
Emberiza melanocephala	2	pdf	annotator_1			scientific name	pdf	
Emberiza rustica	2	pdf	annotator_1			scientific name	pdf	
Emberiza schoeniclus	2	pdf	annotator_1			scientific name	pdf	
Enterobacteriaceae	2	pdf	annotator_1			scientific name	pdf	
Enterococcus	2	pdf	annotator_1			scientific name	pdf	
Eremophila alpestris	2	pdf	annotator_1			scientific name	pdf	
Ficedula albicollis	2	pdf	annotator_1			scientific name	pdf	
Ficedula hypoleuca	2	pdf	annotator_1			scientific name	pdf	
Ficedula parva	2	pdf	annotator_1			scientific name	pdf	
Fringilla coelebs	2	pdf	annotator_1			scientific name	pdf	
Fringilla montifringilla	2	pdf	annotator_1			scientific name	pdf	
Garrulus glandarius	2	pdf	annotator_1			scientific name	pdf	
Hippolais icterina	2	pdf	annotator_1			scientific name	pdf	
Hippolais polyglotta	2	pdf	annotator_1			scientific name	pdf	
Lanius collurio	2	pdf	annotator_1			scientific name	pdf	
Lanius excubitor	2	pdf	annotator_1			scientific name	pdf	
Lanius senator	2	pdf	annotator_1			scientific name	pdf	
Locustella luscinioides	2	pdf	annotator_1			scientific name	pdf	
Locustella naevia	2	pdf	annotator_1			scientific name	pdf	
Loxia curvirostra	2	pdf	annotator_1			scientific name	pdf	
Loxia leucoptera	2	pdf	annotator_1			scientific name	pdf	
Loxia pytyopsittacus	2	pdf	annotator_1			scientific name	pdf	
Luscinia luscinia	2	pdf	annotator_1			scientific name	pdf	
Luscinia megarhynchos	2	pdf	annotator_1			scientific name	pdf	
Luscinia svecica	2	pdf	annotator_1			scientific name	pdf	
Miliaria calandra	2	pdf	annotator_1			scientific name	pdf	
Monticola saxatilis	2	pdf	annotator_1			scientific name	pdf	
Motacilla alba	2	pdf	annotator_1			scientific name	pdf	
Motacilla cinerea	2	pdf	annotator_1			scientific name	pdf	
Motacilla flava	2	pdf	annotator_1			scientific name	pdf	
Muscicapa striata	2	pdf	annotator_1			scientific name	pdf	
Nucifraga caryocatactes	2	pdf	annotator_1			scientific name	pdf	
Oenanthe oenanthe	2	pdf	annotator_1			scientific name	pdf	
Oriolus oriolus	2	pdf	annotator_1			scientific name	pdf	
Panurus biarmicus	2	pdf	annotator_1			scientific name	pdf	
Parus ater	2	pdf	annotator_1			scientific name	pdf	
Parus cristatus	2	pdf	annotator_1			scientific name	pdf	
Parus montanus	2	pdf	annotator_1			scientific name	pdf	
Parus palustris	2	pdf	annotator_1			scientific name	pdf	
Passer domesticus	2	pdf	annotator_1			scientific name	pdf	
Passer hispaniolensis	2	pdf	annotator_1			scientific name	pdf	
Passer montanus	2	pdf	annotator_1			scientific name	pdf	
Perisoreus infaustus	2	pdf	annotator_1			scientific name	pdf	
Phoenicurus ochruros	2	pdf	annotator_1			scientific name	pdf	
Phoenicurus phoenicurus	2	pdf	annotator_1			scientific name	pdf	
Phylloscopus bonelli	2	pdf	annotator_1			scientific name	pdf	
Phylloscopus collybita	2	pdf	annotator_1			scientific name	pdf	
Phylloscopus sibilatrix	2	pdf	annotator_1			scientific name	pdf	
Phylloscopus trochilus	2	pdf	annotator_1			scientific name	pdf	
Pica pica	2	pdf	annotator_1			scientific name	pdf	
Pinicola enucleator	2	pdf	annotator_1			scientific name	pdf	
Plectrophenax nivalis	2	pdf	annotator_1			scientific name	pdf	
Prunella collaris	2	pdf	annotator_1			scientific name	pdf	
Prunella modularis	2	pdf	annotator_1			scientific name	pdf	
Pyrrhocorax graculus	2	pdf	annotator_1			scientific name	pdf	
Pyrrhocorax pyrrhocorax	2	pdf	annotator_1			scientific name	pdf	
Regulus ignicapillus	2	pdf	annotator_1			scientific name	pdf	
Regulus regulus	2	pdf	annotator_1			scientific name	pdf	
Remiz pendulinus	2	pdf	annotator_1			scientific name	pdf	
Saxicola rubetra	2	pdf	annotator_1			scientific name	pdf	
Saxicola torquata	2	pdf	annotator_1			scientific name	pdf	
Serinus citrinella	2	pdf	annotator_1			scientific name	pdf	
Serinus serinus	2	pdf	annotator_1			scientific name	pdf	
Sitta europaea	2	pdf	annotator_1			scientific name	pdf	
Staphylococcus	2	pdf	annotator_1			scientific name	pdf	
Sylvia atricapilla	2	pdf	annotator_1			scientific name	pdf	
Sylvia borin	2	pdf	annotator_1			scientific name	pdf	
Sylvia cantillans	2	pdf	annotator_1			scientific name	pdf	
Sylvia communis	2	pdf	annotator_1			scientific name	pdf	
Sylvia curruca	2	pdf	annotator_1			scientific name	pdf	
Sylvia hortensis	2	pdf	annotator_1			scientific name	pdf	
Sylvia melanocephala	2	pdf	annotator_1			scientific name	pdf	
Sylvia nisoria	2	pdf	annotator_1			scientific name	pdf	
Sylvia undata	2	pdf	annotator_1			scientific name	pdf	
Troglodytes troglodytes	2	pdf	annotator_1			scientific name	pdf	
Turdus iliacus	2	pdf	annotator_1			scientific name	pdf	
Turdus viscivorus	2	pdf	annotator_1			scientific name	pdf	
Sevilla	2	pdf	GNRD_1	false positive	name of something else		pdf	location name
Paradis	2	pdf	GNRD_1	false positive	name of something else		pdf	person name
Emberiza	2	pdf	GNRD_1	false positive	reading figure	orphan genus	pdf	"orphan genus, name in figure"
None	2	pdf	GNRD_1	false positive	unknown		pdf	
Acrocephalus arundinaceus	2	pdf	GNRD_1			scientific name	pdf	
Acrocephalus melanopogon	2	pdf	GNRD_1			scientific name	pdf	
Acrocephalus palustris	2	pdf	GNRD_1			scientific name	pdf	
Acrocephalus schoenobaenus	2	pdf	GNRD_1			scientific name	pdf	
Acrocephalus scirpaceus	2	pdf	GNRD_1			scientific name	pdf	
Aegithalos caudatus	2	pdf	GNRD_1			scientific name	pdf	
Alauda arvensis	2	pdf	GNRD_1			scientific name	pdf	
Anthus pratensis	2	pdf	GNRD_1			scientific name	pdf	
Anthus spinoletta	2	pdf	GNRD_1			scientific name	pdf	
Anthus trivialis	2	pdf	GNRD_1			scientific name	pdf	
Bombycilla garrulus	2	pdf	GNRD_1			scientific name	pdf	
Calandrella brachydactyla	2	pdf	GNRD_1			scientific name	pdf	
Calcarius lapponicus	2	pdf	GNRD_1			scientific name	pdf	
Carduelis cannabina	2	pdf	GNRD_1			scientific name	pdf	
Carduelis carduelis	2	pdf	GNRD_1			scientific name	pdf	
Carduelis flammea	2	pdf	GNRD_1			scientific name	pdf	
Carduelis hornemanni	2	pdf	GNRD_1			scientific name	pdf	
Carpodacus erythrinus	2	pdf	GNRD_1			scientific name	pdf	
Certhia brachydactyla	2	pdf	GNRD_1			scientific name	pdf	
Certhia familiaris	2	pdf	GNRD_1			scientific name	pdf	
Cinclus cinclus	2	pdf	GNRD_1			scientific name	pdf	
Coccothraustes coccothraustes	2	pdf	GNRD_1			scientific name	pdf	
Corvus corax	2	pdf	GNRD_1			scientific name	pdf	
Delichon urbica	2	pdf	GNRD_1			scientific name	pdf	
Emberiza aureola	2	pdf	GNRD_1			scientific name	pdf	
Emberiza cirlus	2	pdf	GNRD_1			scientific name	pdf	
Emberiza citrinella	2	pdf	GNRD_1			scientific name	pdf	
Emberiza hortulana	2	pdf	GNRD_1			scientific name	pdf	
Emberiza melanocephala	2	pdf	GNRD_1			scientific name	pdf	
Emberiza rustica	2	pdf	GNRD_1			scientific name	pdf	
Emberiza schoeniclus	2	pdf	GNRD_1			scientific name	pdf	
Enterobacteriaceae	2	pdf	GNRD_1			scientific name	pdf	
Enterococcus	2	pdf	GNRD_1			scientific name	pdf	
Eremophila alpestris	2	pdf	GNRD_1			scientific name	pdf	
Ficedula albicollis	2	pdf	GNRD_1			scientific name	pdf	
Ficedula hypoleuca	2	pdf	GNRD_1			scientific name	pdf	
Ficedula parva	2	pdf	GNRD_1			scientific name	pdf	
Fringilla coelebs	2	pdf	GNRD_1			scientific name	pdf	
Fringilla montifringilla	2	pdf	GNRD_1			scientific name	pdf	
Garrulus glandarius	2	pdf	GNRD_1			scientific name	pdf	
Hippolais icterina	2	pdf	GNRD_1			scientific name	pdf	
Hippolais polyglotta	2	pdf	GNRD_1			scientific name	pdf	
Lanius collurio	2	pdf	GNRD_1			scientific name	pdf	
Lanius excubitor	2	pdf	GNRD_1			scientific name	pdf	
Lanius senator	2	pdf	GNRD_1			scientific name	pdf	
Locustella luscinioides	2	pdf	GNRD_1			scientific name	pdf	
Locustella naevia	2	pdf	GNRD_1			scientific name	pdf	
Loxia curvirostra	2	pdf	GNRD_1			scientific name	pdf	
Loxia leucoptera	2	pdf	GNRD_1			scientific name	pdf	
Loxia pytyopsittacus	2	pdf	GNRD_1			scientific name	pdf	
Luscinia luscinia	2	pdf	GNRD_1			scientific name	pdf	
Luscinia megarhynchos	2	pdf	GNRD_1			scientific name	pdf	
Luscinia svecica	2	pdf	GNRD_1			scientific name	pdf	
Miliaria calandra	2	pdf	GNRD_1			scientific name	pdf	
Monticola saxatilis	2	pdf	GNRD_1			scientific name	pdf	
Motacilla alba	2	pdf	GNRD_1			scientific name	pdf	
Motacilla cinerea	2	pdf	GNRD_1			scientific name	pdf	
Motacilla flava	2	pdf	GNRD_1			scientific name	pdf	
Muscicapa striata	2	pdf	GNRD_1			scientific name	pdf	
Nucifraga caryocatactes	2	pdf	GNRD_1			scientific name	pdf	
Oenanthe oenanthe	2	pdf	GNRD_1			scientific name	pdf	
Oriolus oriolus	2	pdf	GNRD_1			scientific name	pdf	
Panurus biarmicus	2	pdf	GNRD_1			scientific name	pdf	
Parus ater	2	pdf	GNRD_1			scientific name	pdf	
Parus cristatus	2	pdf	GNRD_1			scientific name	pdf	
Parus montanus	2	pdf	GNRD_1			scientific name	pdf	
Parus palustris	2	pdf	GNRD_1			scientific name	pdf	
Passer domesticus	2	pdf	GNRD_1			scientific name	pdf	
Passer hispaniolensis	2	pdf	GNRD_1			scientific name	pdf	
Passer montanus	2	pdf	GNRD_1			scientific name	pdf	
Perisoreus infaustus	2	pdf	GNRD_1			scientific name	pdf	
Phoenicurus ochruros	2	pdf	GNRD_1			scientific name	pdf	
Phoenicurus phoenicurus	2	pdf	GNRD_1			scientific name	pdf	
Phylloscopus bonelli	2	pdf	GNRD_1			scientific name	pdf	
Phylloscopus collybita	2	pdf	GNRD_1			scientific name	pdf	
Phylloscopus sibilatrix	2	pdf	GNRD_1			scientific name	pdf	
Phylloscopus trochilus	2	pdf	GNRD_1			scientific name	pdf	
Pica pica	2	pdf	GNRD_1			scientific name	pdf	
Pinicola enucleator	2	pdf	GNRD_1			scientific name	pdf	
Plectrophenax nivalis	2	pdf	GNRD_1			scientific name	pdf	
Prunella collaris	2	pdf	GNRD_1			scientific name	pdf	
Prunella modularis	2	pdf	GNRD_1			scientific name	pdf	
Pyrrhocorax graculus	2	pdf	GNRD_1			scientific name	pdf	
Pyrrhocorax pyrrhocorax	2	pdf	GNRD_1			scientific name	pdf	
Regulus ignicapillus	2	pdf	GNRD_1			scientific name	pdf	
Regulus regulus	2	pdf	GNRD_1			scientific name	pdf	
Remiz pendulinus	2	pdf	GNRD_1			scientific name	pdf	
Saxicola rubetra	2	pdf	GNRD_1			scientific name	pdf	
Saxicola torquata	2	pdf	GNRD_1			scientific name	pdf	
Serinus citrinella	2	pdf	GNRD_1			scientific name	pdf	
Serinus serinus	2	pdf	GNRD_1			scientific name	pdf	
Sitta europaea	2	pdf	GNRD_1			scientific name	pdf	
Staphylococcus	2	pdf	GNRD_1			scientific name	pdf	
Sylvia atricapilla	2	pdf	GNRD_1			scientific name	pdf	
Sylvia borin	2	pdf	GNRD_1			scientific name	pdf	
Sylvia cantillans	2	pdf	GNRD_1			scientific name	pdf	
Sylvia communis	2	pdf	GNRD_1			scientific name	pdf	
Sylvia curruca	2	pdf	GNRD_1			scientific name	pdf	
Sylvia hortensis	2	pdf	GNRD_1			scientific name	pdf	
Sylvia melanocephala	2	pdf	GNRD_1			scientific name	pdf	
Sylvia nisoria	2	pdf	GNRD_1			scientific name	pdf	
Sylvia undata	2	pdf	GNRD_1			scientific name	pdf	
Troglodytes troglodytes	2	pdf	GNRD_1			scientific name	pdf	
Turdus iliacus	2	pdf	GNRD_1			scientific name	pdf	
Turdus viscivorus	2	pdf	GNRD_1			scientific name	pdf	
Colella	6	data	GNRD_1	false positive	name of something else			person name
Pandita	6	data	GNRD_1	false positive	name of something else			person name
Manola	6	data	GNRD_1	false positive	name of something else			person name
Ioannina	6	pdf	GNRD_1	false positive	name of something else		pdf	institution name
Plant	12	data	annotator_1			vernacular		
plant	12	pdf	annotator_1			vernacular	pdf	
Scirus	12	pdf	GNRD_1	false positive	name of something else		pdf	search engine name
Acropora0m	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
Apis0melli	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
Astacidea0	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
Blastoclad	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
Bombyx0mor	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
Brachyura0	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
Branchiost	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
Ciona0inte	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
Ciona0savi	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
Crassostre	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
Danio0reri	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
Euprymna0s	18	data	annotator_1	false negative	odd abbreviation	abbreviation		odd spelling
