string	data_package	source_type	annotator	string_type
Coccothraustes coccothraustes	2	pdf	annotator_1	scientific name
Corvus corax	2	pdf	annotator_1	scientific name
Delichon urbica	2	pdf	annotator_1	scientific name
Emberiza aureola	2	pdf	annotator_1	scientific name
Emberiza cirlus	2	pdf	annotator_1	scientific name
Emberiza citrinella	2	pdf	annotator_1	scientific name
Emberiza hortulana	2	pdf	annotator_1	scientific name
Emberiza melanocephala	2	pdf	annotator_1	scientific name
Emberiza rustica	2	pdf	annotator_1	scientific name
Emberiza schoeniclus	2	pdf	annotator_1	scientific name
Enterobacteriaceae	2	pdf	annotator_1	scientific name
Enterococcus	2	pdf	annotator_1	scientific name
Eremophila alpestris	2	pdf	annotator_1	scientific name
Ficedula albicollis	2	pdf	annotator_1	scientific name
Ficedula hypoleuca	2	pdf	annotator_1	scientific name
Ficedula parva	2	pdf	annotator_1	scientific name
Fringilla coelebs	2	pdf	annotator_1	scientific name
Fringilla montifringilla	2	pdf	annotator_1	scientific name
Garrulus glandarius	2	pdf	annotator_1	scientific name
Hippolais icterina	2	pdf	annotator_1	scientific name
Hippolais polyglotta	2	pdf	annotator_1	scientific name
Lanius collurio	2	pdf	annotator_1	scientific name
Lanius excubitor	2	pdf	annotator_1	scientific name
Lanius senator	2	pdf	annotator_1	scientific name
Locustella luscinioides	2	pdf	annotator_1	scientific name
Locustella naevia	2	pdf	annotator_1	scientific name
Loxia curvirostra	2	pdf	annotator_1	scientific name
Loxia leucoptera	2	pdf	annotator_1	scientific name
Loxia pytyopsittacus	2	pdf	annotator_1	scientific name
Luscinia luscinia	2	pdf	annotator_1	scientific name
Luscinia megarhynchos	2	pdf	annotator_1	scientific name
Luscinia svecica	2	pdf	annotator_1	scientific name
Miliaria calandra	2	pdf	annotator_1	scientific name
Monticola saxatilis	2	pdf	annotator_1	scientific name
Motacilla alba	2	pdf	annotator_1	scientific name
Motacilla cinerea	2	pdf	annotator_1	scientific name
Motacilla flava	2	pdf	annotator_1	scientific name
Muscicapa striata	2	pdf	annotator_1	scientific name
Nucifraga caryocatactes	2	pdf	annotator_1	scientific name
Oenanthe oenanthe	2	pdf	annotator_1	scientific name
Oriolus oriolus	2	pdf	annotator_1	scientific name
Panurus biarmicus	2	pdf	annotator_1	scientific name
Parus ater	2	pdf	annotator_1	scientific name
Parus cristatus	2	pdf	annotator_1	scientific name
Parus montanus	2	pdf	annotator_1	scientific name
Parus palustris	2	pdf	annotator_1	scientific name
Passer domesticus	2	pdf	annotator_1	scientific name
Passer hispaniolensis	2	pdf	annotator_1	scientific name
Passer montanus	2	pdf	annotator_1	scientific name
Perisoreus infaustus	2	pdf	annotator_1	scientific name
Phoenicurus ochruros	2	pdf	annotator_1	scientific name
Phoenicurus phoenicurus	2	pdf	annotator_1	scientific name
Phylloscopus bonelli	2	pdf	annotator_1	scientific name
Phylloscopus collybita	2	pdf	annotator_1	scientific name
Phylloscopus sibilatrix	2	pdf	annotator_1	scientific name
Phylloscopus trochilus	2	pdf	annotator_1	scientific name
Pica pica	2	pdf	annotator_1	scientific name
Pinicola enucleator	2	pdf	annotator_1	scientific name
Plectrophenax nivalis	2	pdf	annotator_1	scientific name
Prunella collaris	2	pdf	annotator_1	scientific name
Prunella modularis	2	pdf	annotator_1	scientific name
Pyrrhocorax graculus	2	pdf	annotator_1	scientific name
Pyrrhocorax pyrrhocorax	2	pdf	annotator_1	scientific name
Regulus ignicapillus	2	pdf	annotator_1	scientific name
Regulus regulus	2	pdf	annotator_1	scientific name
Remiz pendulinus	2	pdf	annotator_1	scientific name
Saxicola rubetra	2	pdf	annotator_1	scientific name
Saxicola torquata	2	pdf	annotator_1	scientific name
Serinus citrinella	2	pdf	annotator_1	scientific name
Serinus serinus	2	pdf	annotator_1	scientific name
Sitta europaea	2	pdf	annotator_1	scientific name
Staphylococcus	2	pdf	annotator_1	scientific name
Sylvia atricapilla	2	pdf	annotator_1	scientific name
Sylvia borin	2	pdf	annotator_1	scientific name
Sylvia cantillans	2	pdf	annotator_1	scientific name
Sylvia communis	2	pdf	annotator_1	scientific name
Sylvia curruca	2	pdf	annotator_1	scientific name
Sylvia hortensis	2	pdf	annotator_1	scientific name
Sylvia melanocephala	2	pdf	annotator_1	scientific name
Sylvia nisoria	2	pdf	annotator_1	scientific name
Sylvia undata	2	pdf	annotator_1	scientific name
Troglodytes troglodytes	2	pdf	annotator_1	scientific name
Turdus iliacus	2	pdf	annotator_1	scientific name
Turdus viscivorus	2	pdf	annotator_1	scientific name
animal	2	pdf	annotator_1	vernacular
Bacteria	2	pdf	annotator_1	vernacular
bacteria	2	pdf	annotator_1	vernacular
bird	2	pdf	annotator_1	vernacular
Bird	2	pdf	annotator_1	vernacular
birds	2	pdf	annotator_1	vernacular
Birds	2	pdf	annotator_1	vernacular
blackcap	2	pdf	annotator_1	vernacular
cuckoos	2	pdf	annotator_1	vernacular
fleas	2	pdf	annotator_1	vernacular
passerine birds	2	pdf	annotator_1	vernacular
plant	2	pdf	annotator_1	vernacular
rabbit	2	pdf	annotator_1	vernacular
Plant	12	data	annotator_1	vernacular
plant	12	pdf	annotator_1	vernacular
Acropora0m	18	data	annotator_1	abbreviation
Apis0melli	18	data	annotator_1	abbreviation
Astacidea0	18	data	annotator_1	abbreviation
Blastoclad	18	data	annotator_1	abbreviation
Bombyx0mor	18	data	annotator_1	abbreviation
Brachyura0	18	data	annotator_1	abbreviation
Branchiost	18	data	annotator_1	abbreviation
Ciona0inte	18	data	annotator_1	abbreviation
Ciona0savi	18	data	annotator_1	abbreviation
Crassostre	18	data	annotator_1	abbreviation
Danio0reri	18	data	annotator_1	abbreviation
Euprymna0s	18	data	annotator_1	abbreviation
Gallus0gal	18	data	annotator_1	abbreviation
Haementeri	18	data	annotator_1	abbreviation
Hydra0magn	18	data	annotator_1	abbreviation
Locusta0mi	18	data	annotator_1	abbreviation
Lumbricida	18	data	annotator_1	abbreviation
Monosiga0b	18	data	annotator_1	abbreviation
Monosiga0o	18	data	annotator_1	abbreviation
Mytilus0ga	18	data	annotator_1	abbreviation
Nematostel	18	data	annotator_1	abbreviation
Proterospo	18	data	annotator_1	abbreviation
Rhizopus0o	18	data	annotator_1	abbreviation
Strongyloc	18	data	annotator_1	abbreviation
Tetraodon0	18	data	annotator_1	abbreviation
Ambystoma0	18	data	annotator_1	scientific name
Diplosoma0	18	data	annotator_1	scientific name
Eutheria00	18	data	annotator_1	scientific name
Gastropoda	18	data	annotator_1	scientific name
Hydractini	18	data	annotator_1	scientific name
Ixodidae00	18	data	annotator_1	scientific name
Myxinidae0	18	data	annotator_1	scientific name
Oikopleura	18	data	annotator_1	scientific name
Pectinidae	18	data	annotator_1	scientific name
Penaeidae0	18	data	annotator_1	scientific name
Petromyzon	18	data	annotator_1	scientific name
Tribolium0	18	data	annotator_1	scientific name
Xenopus000	18	data	annotator_1	scientific name
OLFACTORES	18	pdf	annotator_1	duplicate
Ambulacraria	18	pdf	annotator_1	scientific name
Euchordata	18	pdf	annotator_1	scientific name
Acropora	18	pdf	annotator_1	scientific name
Ambystoma	18	pdf	annotator_1	scientific name
Apis	18	pdf	annotator_1	scientific name
Astacidea	18	pdf	annotator_1	scientific name
Blastocladiella	18	pdf	annotator_1	scientific name
Bombyx	18	pdf	annotator_1	scientific name
Brachyura	18	pdf	annotator_1	scientific name
Branchiostoma	18	pdf	annotator_1	scientific name
Cephalochordata	18	pdf	annotator_1	scientific name
Choanoflagellata	18	pdf	annotator_1	scientific name
Ciona intestinalis	18	pdf	annotator_1	scientific name
Ciona savignyi	18	pdf	annotator_1	scientific name
Cnidaria	18	pdf	annotator_1	scientific name
Crassostrea	18	pdf	annotator_1	scientific name
Danio	18	pdf	annotator_1	scientific name
Diplosoma	18	pdf	annotator_1	scientific name
Echinodermata	18	pdf	annotator_1	scientific name
Eptatretus	18	pdf	annotator_1	scientific name
Euprymna	18	pdf	annotator_1	scientific name
Fungi	18	pdf	annotator_1	scientific name
Gallus	18	pdf	annotator_1	scientific name
Gastropoda	18	pdf	annotator_1	scientific name
Haementeria	18	pdf	annotator_1	scientific name
Homo	18	pdf	annotator_1	scientific name
Hydra	18	pdf	annotator_1	scientific name
Hydractinia	18	pdf	annotator_1	scientific name
Ixodidae	18	pdf	annotator_1	scientific name
Locusta	18	pdf	annotator_1	scientific name
Lumbricidae	18	pdf	annotator_1	scientific name
Monosiga brevicollis	18	pdf	annotator_1	scientific name
Monosiga ovata	18	pdf	annotator_1	scientific name
Mytilus	18	pdf	annotator_1	scientific name
Nematostella	18	pdf	annotator_1	scientific name
Olfactores	18	pdf	annotator_1	scientific name
Pectinidae	18	pdf	annotator_1	scientific name
Penaeidae	18	pdf	annotator_1	scientific name
Petromyzon	18	pdf	annotator_1	scientific name
Proterospongia	18	pdf	annotator_1	scientific name
Protostomia	18	pdf	annotator_1	scientific name
Rhizopus	18	pdf	annotator_1	scientific name
Strongylocentrotus	18	pdf	annotator_1	scientific name
Tetraodon	18	pdf	annotator_1	scientific name
Tribolium	18	pdf	annotator_1	scientific name
Tunicata	18	pdf	annotator_1	scientific name
Vertebrata	18	pdf	annotator_1	scientific name
Xenopus	18	pdf	annotator_1	scientific name
Ciona	18	pdf	annotator_1	scientific name
O. dioica	18	pdf	annotator_1	scientific name
Oikopleura	18	pdf	annotator_1	scientific name
Oikopleura dioica	18	pdf	annotator_1	scientific name
animals	18	pdf	annotator_1	vernacular
appendicularians	18	pdf	annotator_1	vernacular
arthropods	18	pdf	annotator_1	vernacular
ascidians	18	pdf	annotator_1	vernacular
bilaterians	18	pdf	annotator_1	vernacular
bivalves	18	pdf	annotator_1	vernacular
cephalochordates	18	pdf	annotator_1	vernacular
choano?agellates	18	pdf	annotator_1	vernacular
chordate	18	pdf	annotator_1	vernacular
Chordate	18	pdf	annotator_1	vernacular
cnidarians	18	pdf	annotator_1	vernacular
cyclostomes	18	pdf	annotator_1	vernacular
echinoderms	18	pdf	annotator_1	vernacular
hagfish	18	pdf	annotator_1	vernacular
hemichordates	18	pdf	annotator_1	vernacular
insects	18	pdf	annotator_1	vernacular
lamprey	18	pdf	annotator_1	vernacular
lancelets	18	pdf	annotator_1	vernacular
larvaceans	18	pdf	annotator_1	vernacular
lophotrochozoans	18	pdf	annotator_1	vernacular
molluscs	18	pdf	annotator_1	vernacular
salps	18	pdf	annotator_1	vernacular
sea squirts	18	pdf	annotator_1	vernacular
Tunicates	18	pdf	annotator_1	vernacular
tunicates	18	pdf	annotator_1	vernacular
urochordates	18	pdf	annotator_1	vernacular
vertebrates	18	pdf	annotator_1	vernacular
Diplosoma_simileguwa_AB211107.1	22	data	annotator_1	abbreviation
Pyrosomella_verticullata_R4	22	data	annotator_1	abbreviation
Anolis_carolinensis_AY859624	22	data	annotator_1	duplicate
AnolisXcar	22	data	annotator_1	duplicate
AntedonXse	22	data	annotator_1	duplicate
AplidiumXp	22	data	annotator_1	duplicate
Ascidia_ahodori_AB104871	22	data	annotator_1	duplicate
AscidiaXah	22	data	annotator_1	duplicate
AscidiaXce	22	data	annotator_1	duplicate
Ascidiella_sp	22	data	annotator_1	duplicate
AsteriasXa	22	data	annotator_1	duplicate
Balanoglos	22	data	annotator_1	duplicate
Boltenia_villosa_AY903924	22	data	annotator_1	duplicate
BolteniaXv	22	data	annotator_1	duplicate
Botrylloid	22	data	annotator_1	duplicate
Botrylloides_violacea_AY903927	22	data	annotator_1	duplicate
Botryllus_schlosseri_A	22	data	annotator_1	duplicate
Botryllus_schlosseri_AB211066	22	data	annotator_1	duplicate
Botryllus_schlosseri_Tam	22	data	annotator_1	duplicate
BotryXplan	22	data	annotator_1	duplicate
BotryXschl	22	data	annotator_1	duplicate
BotryXtama	22	data	annotator_1	duplicate
Branchiost	22	data	annotator_1	duplicate
Chelyosoma_siboja_AB104872	22	data	annotator_1	duplicate
Chrysemys_sp_AY859627	22	data	annotator_1	duplicate
ChrysemysX	22	data	annotator_1	duplicate
Ciona_intestinalis_AB013017	22	data	annotator_1	duplicate
Ciona_savignyi_AB191429	22	data	annotator_1	duplicate
CionaXinte	22	data	annotator_1	duplicate
CionaXsavi	22	data	annotator_1	duplicate
ClavelinaX	22	data	annotator_1	duplicate
Cnemidocarpa_humilis_S	22	data	annotator_1	duplicate
CnemidoXfi	22	data	annotator_1	duplicate
CnemidoXhu	22	data	annotator_1	duplicate
Corella_inflata_AY903930	22	data	annotator_1	duplicate
CorellaXeu	22	data	annotator_1	duplicate
CorellaXin	22	data	annotator_1	duplicate
Cyclosalpa_R	22	data	annotator_1	duplicate
Cyclosalpa_R8	22	data	annotator_1	duplicate
Cystodytes_tam	22	data	annotator_1	duplicate
DanioXreri	22	data	annotator_1	duplicate
DendrodoaX	22	data	annotator_1	duplicate
Didemnum_sp_AB211073.1	22	data	annotator_1	duplicate
DidemnuXmo	22	data	annotator_1	duplicate
DidemnXsp1	22	data	annotator_1	duplicate
DidemnXsp2	22	data	annotator_1	duplicate
Diplosoma_sp._AB211121.1	22	data	annotator_1	duplicate
DiplosXsp1	22	data	annotator_1	duplicate
DiploXmits	22	data	annotator_1	duplicate
DiploXooru	22	data	annotator_1	duplicate
DiploXsp2X	22	data	annotator_1	duplicate
DiplXsimil	22	data	annotator_1	duplicate
DiplXviren	22	data	annotator_1	duplicate
DistapliaX	22	data	annotator_1	duplicate
Doliolum_denticulata_S1S4	22	data	annotator_1	duplicate
Doliolum_nationalis_AB013013	22	data	annotator_1	duplicate
DoliolumXd	22	data	annotator_1	duplicate
DoliolumXn	22	data	annotator_1	duplicate
DXsimilegu	22	data	annotator_1	duplicate
EcteinXher	22	data	annotator_1	duplicate
EcteinXtur	22	data	annotator_1	duplicate
EudistomaX	22	data	annotator_1	duplicate
Gallus_gallus_AF173612	22	data	annotator_1	duplicate
GallusXgal	22	data	annotator_1	duplicate
Halocynthia_igaboja_AY903925	22	data	annotator_1	duplicate
Halocynthia_roretzi_AB013016	22	data	annotator_1	duplicate
Halocynthia_spinosa_Tam	22	data	annotator_1	duplicate
HalocynXig	22	data	annotator_1	duplicate
HalocynXro	22	data	annotator_1	duplicate
HalocynXsp	22	data	annotator_1	duplicate
Herdmania_curvata_AF165827	22	data	annotator_1	duplicate
HerdmanXcu	22	data	annotator_1	duplicate
HerdmanXmo	22	data	annotator_1	duplicate
HerdmanXsp	22	data	annotator_1	duplicate
HomoXsapie	22	data	annotator_1	duplicate
Ihlea_racovitzai_C1	22	data	annotator_1	duplicate
IhleaXraco	22	data	annotator_1	duplicate
LepXmadara	22	data	annotator_1	duplicate
LissoclXsp	22	data	annotator_1	duplicate
LissXbadiu	22	data	annotator_1	duplicate
LissXbistr	22	data	annotator_1	duplicate
LissXpatel	22	data	annotator_1	duplicate
LissXpunct	22	data	annotator_1	duplicate
LissXtimor	22	data	annotator_1	duplicate
Megalocerc	22	data	annotator_1	duplicate
Megalocercus_huxleyi_R2	22	data	annotator_1	duplicate
Megalodico	22	data	annotator_1	duplicate
Megalodicopia_hians_AB075543	22	data	annotator_1	duplicate
Metandroca	22	data	annotator_1	duplicate
Metandrocarpa_taylori_AY903922	22	data	annotator_1	duplicate
MicrocoXpo	22	data	annotator_1	duplicate
MicrocoXsa	22	data	annotator_1	duplicate
MicrocoXsq	22	data	annotator_1	duplicate
Molgula_arenata_AY903919	22	data	annotator_1	duplicate
Molgula_pacifica_AY040738	22	data	annotator_1	duplicate
Molgula_pugetiensis_AY903920	22	data	annotator_1	duplicate
Molgula_retortiformis_AY903921	22	data	annotator_1	duplicate
MolgulaXar	22	data	annotator_1	duplicate
MolgulaXbl	22	data	annotator_1	duplicate
MolgulaXci	22	data	annotator_1	duplicate
MolgulaXco	22	data	annotator_1	duplicate
MolgulaXma	22	data	annotator_1	duplicate
MolgulaXpa	22	data	annotator_1	duplicate
MolgulaXpr	22	data	annotator_1	duplicate
MolgulaXpu	22	data	annotator_1	duplicate
MolgulaXre	22	data	annotator_1	duplicate
MolgXoccid	22	data	annotator_1	duplicate
MolgXoccul	22	data	annotator_1	duplicate
MolgXocula	22	data	annotator_1	duplicate
Oikopleura_dioica_AB013014	22	data	annotator_1	duplicate
Oikopleura_labradoriensis_R1	22	data	annotator_1	duplicate
OikopleuXd	22	data	annotator_1	duplicate
OikopleuXl	22	data	annotator_1	duplicate
OikopleuXs	22	data	annotator_1	duplicate
PelonaiaXc	22	data	annotator_1	duplicate
Perophora_sagamiensis_AB104873	22	data	annotator_1	duplicate
PerophXsag	22	data	annotator_1	duplicate
PerophXvir	22	data	annotator_1	duplicate
Phallusia_mammilata_AF236803	22	data	annotator_1	duplicate
Phallusia_nigra_Tam	22	data	annotator_1	duplicate
PhalluXfum	22	data	annotator_1	duplicate
PhalluXmam	22	data	annotator_1	duplicate
PhalluXnig	22	data	annotator_1	duplicate
Polycarpa_mytiligera_Tam	22	data	annotator_1	duplicate
PolycarXmi	22	data	annotator_1	duplicate
PolycarXpa	22	data	annotator_1	duplicate
PolycarXpo	22	data	annotator_1	duplicate
Ptychodera_flava_AF278681	22	data	annotator_1	duplicate
Pycnoclave	22	data	annotator_1	duplicate
Pyrosoma_atlanticum_AB013011	22	data	annotator_1	duplicate
PyrosomaXa	22	data	annotator_1	duplicate
PyrosomaXg	22	data	annotator_1	duplicate
Pyura_gangelion_Tam	22	data	annotator_1	duplicate
Pyura_haustor_AY903926	22	data	annotator_1	duplicate
PyuraXdura	22	data	annotator_1	duplicate
PyuraXgang	22	data	annotator_1	duplicate
PyuraXhaus	22	data	annotator_1	duplicate
Raja_schmidti_AF278682	22	data	annotator_1	duplicate
RajaXschmi	22	data	annotator_1	duplicate
Saccogloss	22	data	annotator_1	duplicate
Saccoglossus_pusillus_AF236800	22	data	annotator_1	duplicate
Salpa_thompsoni_C2	22	data	annotator_1	duplicate
SalpaXcyli	22	data	annotator_1	duplicate
SalpaXthom	22	data	annotator_1	duplicate
Strongyloc	22	data	annotator_1	duplicate
Styela_gibbsii_AY903923	22	data	annotator_1	duplicate
StyelaXgib	22	data	annotator_1	duplicate
StyelaXmon	22	data	annotator_1	duplicate
StyelaXpli	22	data	annotator_1	duplicate
SymplegmaX	22	data	annotator_1	duplicate
ThaliaXdem	22	data	annotator_1	duplicate
Trididemnu	22	data	annotator_1	duplicate
XenopusXla	22	data	annotator_1	duplicate
Cyclosalpa	22	data	annotator_1	scientific name
Cystodytes	22	data	annotator_1	scientific name
Petromyzon	22	data	annotator_1	scientific name
Ptychodera	22	data	annotator_1	scientific name
Pyrosomell	22	data	annotator_1	scientific name
tunicates	22	data	annotator_1	vernacular
Anolis_carolinensis_A	22	data	annotator_1	
Antedon_serrata_D14357	22	data	annotator_1	
Aplidium_pliciferum_AB211067.1	22	data	annotator_1	
Ascidia_ahodori_A	22	data	annotator_1	
Ascidia_ceratodes_L12378	22	data	annotator_1	
Ascidiella	22	data	annotator_1	
Asterias_amurensis_D14358	22	data	annotator_1	
Balanoglossus_carnosus_D14359	22	data	annotator_1	
Boltenia_villosa_A	22	data	annotator_1	
Botrylloides_violacea_A	22	data	annotator_1	
Botryllus_planus_DQ346653	22	data	annotator_1	
Botryllus_schlosseri	22	data	annotator_1	
Branchiostoma_floridae_M97571	22	data	annotator_1	
Chelyosoma	22	data	annotator_1	
Chelyosoma_siboja_A	22	data	annotator_1	
Chrysemys_sp_A	22	data	annotator_1	
Ciona_intestinalis_A	22	data	annotator_1	
Ciona_savignyi_A	22	data	annotator_1	
Clavelina_meridionalis_X8	22	data	annotator_1	
Cnemidocarpa_finmarkiensis_L12413	22	data	annotator_1	
Cnemidocarpa_humilis	22	data	annotator_1	
Corella_eumyota_X17	22	data	annotator_1	
Corella_inflata_A	22	data	annotator_1	
Danio_rerio_BX296557	22	data	annotator_1	
Dendrodoa_grossularia_L12416	22	data	annotator_1	
Didemnum_molle_AB211071.1	22	data	annotator_1	
Didemnum_sp._AB211072.1	22	data	annotator_1	
Diplosoma_mitsukurii_AB211096.1	22	data	annotator_1	
Diplosoma_ooru_AB211097.1	22	data	annotator_1	
Diplosoma_simile_AB211101.1	22	data	annotator_1	
Diplosoma_sp._AB211116.1	22	data	annotator_1	
Diplosoma_virens_AB211109.1	22	data	annotator_1	
Distaplia_dubia_AB211068.1	22	data	annotator_1	
Doliolum_denticulata_R3	22	data	annotator_1	
Doliolum_nationalis_A	22	data	annotator_1	
Ecreinascidia_herdmanni_X2	22	data	annotator_1	
Ecteinascidia_herdmanni_X2	22	data	annotator_1	
Ecteinascidia_turbinata_X21	22	data	annotator_1	
Eudistoma_gilboviride_AB211069.1	22	data	annotator_1	
Gallus_gallus_A	22	data	annotator_1	
Halocynthia_igaboja_A	22	data	annotator_1	
Halocynthia_roretzi_A	22	data	annotator_1	
Halocynthia_spinosa_T	22	data	annotator_1	
Herdmania_curvata_A	22	data	annotator_1	
Herdmania_momus_X53538	22	data	annotator_1	
Herdmania_sp_X49	22	data	annotator_1	
Homo_sapiens_X03205	22	data	annotator_1	
Ihlea_racovitzai	22	data	annotator_1	
Leptoclinides_madara_AB211070.1	22	data	annotator_1	
Lissoclinum_badium_AB211078.1	22	data	annotator_1	
