T0	LIVB 120 133	Spiny Lizards
T196	LIVB 68917 68928	S. j. minor
T197	LIVB 69133 69153	S. j. erythrocyaneus
T198	LIVB 69155 69173	S. j. immucronatus
T199	LIVB 69188 69199	S. j. minor
T200	LIVB 69266 69277	S. j. minor
T201	LIVB 69331 69349	S. j. immucronatus
T202	LIVB 69354 69374	S. j. erythrocyaneus
T203	LIVB 69449 69460	S. j. minor
T204	LIVB 69504 69516	S. j. oberon
T205	LIVB 69548 69566	S. j. immucronatus
T206	LIVB 69571 69591	S. j. erythrocyaneus
T207	LIVB 69764 69783	Sceloporus jarrovii
T208	LIVB 69888 69906	S. j. cyanostictus
T209	LIVB 69907 69923	S. j. sugillatus
T210	LIVB 69924 69938	S. j. jarrovii
T211	LIVB 69940 69959	C S. lineolateralis
T212	LIVB 69962 69974	S. j. oberon
T213	LIVB 69975 69985	C northern
T214	LIVB 69986 69997	S. j. minor
T215	LIVB 69998 70018	S. j. erythrocyaneus
T216	LIVB 70021 70039	S. j. immucronatus
T217	LIVB 70040 70050	C southern
T218	LIVB 70051 70062	S. j. minor
T219	LIVB 70085 70103	S. j. cyanostictus
T220	LIVB 70104 70120	S. j. sugillatus
T221	LIVB 70121 70135	S. j. jarrovii
T222	LIVB 70136 70148	S. j. oberon
T223	LIVB 70149 70169	S. j. erythrocyaneus
T224	LIVB 70172 70190	S. j. immucronatus
T225	LIVB 70197 70208	S. j. minor
T226	LIVB 70236 70254	S. j. cyanostictus
T227	LIVB 70255 70271	S. j. sugillatus
T228	LIVB 70272 70286	S. j. jarrovii
T229	LIVB 70289 70300	S. j. minor
T230	LIVB 70333 70344	S. j.minor 
T231	LIVB 70365 70385	S. j. erythrocyaneus
T232	LIVB 70388 70406	S. j. immucronatus
T233	LIVB 70741 70752	S. j. minor
T234	LIVB 70758 70770	S. j. oberon
T235	LIVB 70824 70835	S. j. minor
T236	LIVB 70857 70868	S. j. minor
T237	LIVB 71131 71142	S. jarrovii
T238	LIVB 71161 71176	S. cyanostictus
T239	LIVB 71182 71200	S. j. cyanostictus
T240	LIVB 71203 71214	S. jarrovii
T241	LIVB 71220 71234	S. j. jarrovii
T242	LIVB 71259 71276	S. lineolateralis
T243	LIVB 71279 71287	S. minor
T244	LIVB 71293 71313	S. j. erythrocyaneus
T245	LIVB 71315 71333	S. j. immucronatus
T246	LIVB 71363 71374	S. j. minor
T247	LIVB 71377 71386	S. oberon
T248	LIVB 71392 71404	S. j. oberon
T249	LIVB 71433 71444	S. j. minor
T250	LIVB 71451 71464	S. sugillatus
T251	LIVB 71470 71486	S. j. sugillatus
T252	LIVB 71856 71871	S. cyanostictus
T253	LIVB 71873 71881	S. minor
T254	LIVB 71883 71892	S. oberon
T255	LIVB 71898 71911	S. sugillatus
T256	LIVB 73468 73478	Sauromalus
T257	LIVB 73836 73846	Sauromalus
T258	LIVB 73959 73978	Sceloporus jarrovii
T259	LIVB 74380 74392	S. j. oberon
T260	LIVB 74484 74495	S. j. minor
T261	LIVB 75509 75520	S. jarrovii
T262	LIVB 75769 75778	torquatus
T263	LIVB 75914 75934	Sceloporus phylogeny
T264	LIVB 76408 76416	S. minor
T265	LIVB 76421 76430	S. oberon
T266	LIVB 76757 76766	torquatus
T267	LIVB 77290 77301	S. jarrovii
T268	LIVB 78856 78867	S. jarrovii
