T0	LIVB 373 388	True crocodiles
T162	LIVB 31395 31405	C. porosus
T163	LIVB 31883 31893	gastropods
T164	LIVB 31912 31923	wrasse fish
T165	LIVB 32249 32259	Crocodylus
T166	LIVB 32843 32853	Crocodylus
T167	LIVB 32987 33001	C. mindorensis
T168	LIVB 33003 33018	C. novaeguineae
T169	LIVB 33024 33036	C. johnstoni
T170	LIVB 33113 33123	Crocodylus
T171	LIVB 33454 33464	Crocodylus
T172	LIVB 34296 34310	Hoplobatrachus
T173	LIVB 34312 34320	Hylarana
T174	LIVB 34326 34337	Chiromantis
T175	LIVB 34389 34401	Duttaphrynus
T176	LIVB 34618 34630	Crocodylians
T177	LIVB 34727 34737	Crocodylus
T178	LIVB 34809 34819	Crocodylus
T179	LIVB 35272 35282	Crocodylus
T180	LIVB 35486 35496	Crocodylus
T181	LIVB 35518 35533	C. palaeindicus
T182	LIVB 35568 35585	C. anthropophagus
T183	LIVB 35683 35693	Crocodylus
T184	LIVB 35835 35845	Crocodylus
T185	LIVB 36819 36831	C. niloticus
T186	LIVB 38198 38208	Crocodylus
T187	LIVB 38415 38425	alligators
T188	LIVB 38457 38469	crocodylians
T189	LIVB 38545 38554	Alligator
T190	LIVB 38556 38575	A. mississippiensis
T191	LIVB 38633 38644	A. sinensis
T192	LIVB 38890 38899	Alligator
T193	LIVB 39127 39135	Beringia
T194	LIVB 39139 39148	Alligator
T195	LIVB 39252 39262	Crocodylus
T196	LIVB 39636 39646	C. porosus
T197	LIVB 39740 39750	Crocodylus
T198	LIVB 40430 40440	Caimaninae
T199	LIVB 40442 40450	Gavialis
T200	LIVB 40465 40474	Tomistoma
T201	LIVB 40489 40500	Osteolaemus
T202	LIVB 40547 40559	Mekosuchinae
T203	LIVB 40911 40921	Crocodylus
T204	LIVB 41081 41091	Crocodylus
T205	LIVB 41093 41101	robustus
T206	LIVB 41103 41109	lloydi
T207	LIVB 41111 41121	megarhinus
T208	LIVB 41126 41133	pigotti
T209	LIVB 41205 41216	C. bambolii
T210	LIVB 41226 41240	Crocodylus sp.
T211	LIVB 41313 41323	Crocodylus
T212	LIVB 41328 41343	C. palaeindicus
T213	LIVB 41348 41365	C. anthropophagus
T214	LIVB 41454 41464	Crocodylus
T215	LIVB 41522 41532	Crocodylus
T216	LIVB 41627 41642	true crocodiles
T217	LIVB 41744 41756	crocodylians
T218	LIVB 41796 41806	Crocodylus
T219	LIVB 41849 41859	Crocodylus
T220	LIVB 42345 42355	Crocodylus
T221	LIVB 42521 42536	true crocodiles
T222	LIVB 42605 42625	OUTSIDE CROCODYLINAE
T223	LIVB 42691 42701	Crocodylia
T224	LIVB 42727 42734	caimans
T225	LIVB 42736 42746	Caimaninae
T226	LIVB 42812 42818	Caiman
T227	LIVB 42955 42967	Melanosuchus
T228	LIVB 42975 42981	Caiman
T229	LIVB 43137 43143	Caiman
T230	LIVB 43164 43182	Melanosuchus niger
T231	LIVB 43210 43216	Caiman
T232	LIVB 43294 43307	Caiman yacare
T233	LIVB 43312 43329	Caiman crocodilus
T234	LIVB 43453 43476	African dwarf crocodile
T235	LIVB 43478 43490	O. tetraspis
T236	LIVB 43648 43663	O. t. tetraspis
T237	LIVB 43668 43681	O. t. osborni
T238	LIVB 43926 43937	Osteolaemus
T239	LIVB 44126 44137	Osteolaemus
T240	LIVB 44258 44266	Gavialis
T241	LIVB 44346 44356	Crocodylia
T242	LIVB 44383 44391	Gavialis
T243	LIVB 44461 44469	Gavialis
T244	LIVB 44483 44492	Tomistoma
T245	LIVB 44534 44542	Gavialis
T246	LIVB 44573 44585	crocodylians
T247	LIVB 44705 44713	Gavialis
T248	LIVB 44718 44727	Tomistoma
T249	LIVB 44735 44747	Crocodylidae
T250	LIVB 45104 45114	Gavialinae
T251	LIVB 45215 45225	Crocodylus
T252	LIVB 45751 45766	true crocodiles
T253	LIVB 45974 45986	C. niloticus
T254	LIVB 46244 46254	Crocodylus
T255	LIVB 46324 46334	Crocodylus
